Château / Entreprise,Nom du Contact,Email,Téléphone,Statut de la demande,Motif de refus,Membre de SDC,Catégorie,Apparaît dans la bible ? ,type de vins princiapl,Pôle concerné,Région,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
Domaine Auguste Clape,,pierre.clape@wanadoo.fr,,"Contacté, sans réponse",,,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Courbis,,contact@domaine-courbis.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine François Villard,,contact@domainevillard.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Delas Frères,,contact@delas.com,,"Contacté, en discussions",,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Chapoutier,,vpc@chapoutier.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Paul Jaboulet Aîné,tester l'an prochain,info@jaboulet.com,,"Contacté, refus",,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Jean-Louis Chave,,domaine@domainejlchave.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Ferraton Père & Fils,,contact@ferraton.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Gonon,,,,Non contacté,,,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine du Tunnel,,domaine-du-tunnel@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Colombo,,colombo@vinscolombo.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine du Coulet,,matthieu.barret@domaineducoulet.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Coursodon,,domaine@coursodon.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Belle,,contact@domainebelle.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Monier-Perréol,,,,Non contacté,,,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Emmanuel Darnaud,,domaine@edarnaud.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine François Merlin,,domainef.merlin@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Vincent Paris,,vinsparis@wanadoo.fr,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Faury,,contact@domaine-faury.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Bernard Faurie,,,,Non contacté,,,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine François-Xavier Nicolas,,contact@fxnicolas.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Richard,,,,Non contacté,,,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Laurent Combier,,,,Non contacté,,,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine François Dumas,,,,Non contacté,,,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Pierre Gonon,,,,Non contacté,,,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Gilles Robin,,domaine@gillesrobin.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Duclaux,,contact@coterotie-duclaux.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Leccia,,contact@domaine-leccia.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Antoine Arena,,"""jeanbaptiste.arena@orange.fr"" ",,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Clos Santini,,domaine.francksantini@gmail.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Clos Teddi,,clos.teddi@orange.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Gentile,,domaine.gentile@wanadoo.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,rouge,Pôle concerné,,,,,,,,,,
Domaine Orenga de Gaffory,,contact@orengadegaffory.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Giudicelli,domaine.giudicelli@gmail.com,muriel.giudicelli@wanadoo.fr,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Pôle concerné,,,,,,,,,,
Domaine Devichi,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Poli,,clos.alivu@orange.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Yves Leccia,,info@yves-leccia.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Lazzarini,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos de Bernardi,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Montemagni,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos Alivu,,clos.alivu@orange.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Venturi,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos Marfisi,,julie.marfisi@gmail.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Comte Abbatucci,,contact@domaine-abbatucci.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Capitoro,,info@clos-capitoro.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Peraldi,,info@domaineperaldi.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos d’Alzeto,,contact@closdalzeto.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Vaccelli,,vaccelli@aol.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Mosconi,,infos@domainemosconi.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Ornasca,,closornasca@orange.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine A Peraccia,,domaine.aperaccia@orange.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Pietrella,,info@domainedepietrella.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Sant Armettu,,contact@santarmettu.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Granajolo,,info@granajolo.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Zuria,,accueil@domainezuria.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Canarelli,,closcanarelli2a@orange.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Tanella,,contact@domaine-tanella.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Torraccia,,torracciaoriu@wanadoo.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de San Gavino,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Peretti della Rocca,,contact@domaineperettidellarocca.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Vecchio,,domaine.vecchio@wanadoo.fr,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Paoli,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Saparale,,contact@saparale.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine San Micheli,,domaine.san.micheli@orange.fr,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Fiumicicoli,,contact@fiumicicoli.corsica,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Fornelli,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Pero Longo,,contact@perolongo.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Renucci,,contact@domaine-renucci.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Culombu,,contact.culombu@gmail.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Alzipratu,"Estelle Ponthieux Giamarchi et bureau@alzipratu.com 3 bouteilles –AOP Corse Calvi  Cuvée   « Pumonte » rouge 2022
3 bouteilles –AOP Corse Calvi  Cuvée  « Pumonte » blanc 2024",reservationalzipratu@gmail.com,,Validé,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Landry,,vinscloslandry@gmail.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Maestracci,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Castellu di Baricci,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos Poggiale,,boutique@terra-vecchia.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Clos Venturi,boutique@domainevico.com et Claire Chomel  6 clos venturi Blanc IP 2022 et  6 domaine vico les parcellaires U fornu rouge 2022,contact@domainevico.com,,Validé,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Clos Signadore,,contact@signadore.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,t,,,,,,,,,,
Domaine Uvalone,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de Pratavone,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Fior di Lecci,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Vico,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine de Mavella,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Terra di Catoni,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine U Stiliccionu,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Pieretti,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos Nicrosi,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Casabianca,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Casanova,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Clos San Quilico,,contact@sanquilico.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de Musoleu,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Boccheciampe,,domaine.boccheciampe@gmail.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Revelette,,chateaurevelette@orange.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Schoffit,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Kamm & Fils,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Albert Seltz,,info@albert-seltz.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Emile Beyer,,info@emile-beyer.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Ginglinger-Fix,,contact@ginglinger-fix.fr,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Stoeffler,,info@vins-stoeffler.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Sylvie Spielmann,,contact@sylviespielmann.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Fernand Engel,,info@fernand-engel.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Charles Frey,,contact@charles-frey.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Binner,,a-la-tienne@alsace-binner.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Hubert Metz,,contact@hubertmetz.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Léon Heitzmann,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Gérard Neumeyer,,contact@gerardneumeyer.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Seppi Landmann,,contact@seppi-landmann.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Laurent Bannwarth,,laurent@bannwarth.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Antoine Lienhardt,,antoinelienhardt.domaine@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Yves Amberg,,amberg.yves@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Schoenheitz,,caveau@vins-schoenheitz.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Lucien Albrecht,,contact@lucien-albrecht.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Fuchs et Fils,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Paul Ginglinger,,info@paul-ginglinger.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Ernest Burn,,contact@domaine-burn.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Lucien Jacob,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine J.P. Scharsch,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Müller-Koeberlé,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Bruno Clair,,domaine@brunoclair.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Joseph Roty,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Charles Audoin,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Sylvain Pataille,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Collette,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Huguenot,,contact@domainehuguenot.com,,"Contacté, refus",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Jean Fournier,,contact@domaine-fournier.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Coillot,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Régis Bouvier,,contact@rene-lamy.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Joliet,,contact@domainejoliet.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Guy & Yvan Dufouleur,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine du Clos Saint-Louis,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Philippe Naddef,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Pierre Naigeon,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Dugat-Py,,contact@dugat-py.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Duroché,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Claude Dugat,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Jean-Marie Fourrier,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Pierre Damoy,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Trapet Père et Fils,,message@trapet.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Rossignol-Trapet,,info@rossignol-trapet.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Harmand-Geoffroy,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Marc Roy,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Denis Bachelet,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Humbert Frères,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Sylvie Esmonin,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Philippe Charlopin,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Henri Rebourseau,,domaine@rebourseau.com,,"Contacté, refus",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine René Leclerc,,contact@domainereneleclerc.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Christian Serafin,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Geantet-Pansiot,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Dujac,,contact@dujac.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Lambrays,,clos@lambrays.com // https://www.lambrays.com/contact/,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Hubert Lignier,,contact@hubert-lignier.com // https://hubert-lignier.com/fr/contact,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Michel Magnien,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Perrot-Minot,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Lignier-Michelot,https://www.lacaveduclosmaillard.fr/contact.rub-103/,contact@domainevirgileligniermichelot.fr // https://domainevirgileligniermichelot.fr/,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Georges Lignier,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Taupenot-Merme,https://www.domainemagnien.com/index.php/contact,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Stéphane Magnien,,,,"Contacté, sans réponse",,,Démarchage en nature,,,,,,,,,,,,,
Domaine Pierre Amiot et Fils,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine des Monts Luisants,,contact@domainedesmontsluisants.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Charlopin-Parizot,,contact@domaine-charlopin-parizot.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Dujardin,,contact@domaine-dujardin.com,,mauvais mail,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Clos des Lambrays,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Comte Georges de Vogüé,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Ghislaine Barthod,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Jacques-Frédéric Mugnier,,info@mugnier.fr,,"Contacté, refus",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Amiot-Servelle,,domaine@amiot-servelle.com,,"Contacté, refus",,,Démarchage en nature,,,,,,,,,,,,,
Domaine Anne et Hervé Sigaut,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Hudelot-Noëllat,,contact@domaine-hudelot-noellat.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Georges Roumier,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Christophe Roumier,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Bertheau,,ddb.reservation@gmail.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Christian Clerget,,domainechristianclerget@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Digioia-Royer,,micheldigioia@wanadoo.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Joseph Drouhin,,maisondrouhin@drouhin.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Laurent Roumier,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Méo-Camuzet,https://www.meo-camuzet.com/fr/contact/contacts annelise@meo-camuzet.com,,,Validé,,Marin/ Quentin/Marine,Démarchage en nature,,,,6 bouteilles de Fixin 2018,,,,,,,,,
Domaine Mugneret-Gibourg,,dgm@mugneret-gibourg.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Robert Groffier,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine d’Eugénie,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Château de la Tour,,contact@lechateaudelatour.fr,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine René Engel,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Anne Gros,https://www.anne-gros.com/en/contact-2/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Gros Frère et Sœur,https://www.gros-frere-et-soeur.com/fr_FR/contact/,,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Jean Grivot,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Louis Jadot,https://www.louisjadot.com/contacter-nous,,03 80 26 31 98,"Contacté, sans réponse",,,Démarchage en nature,,,,,,,,,,,,,
Domaine Mongeard-Mugneret,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Thibault Liger-Belair,,contact@thibaultligerbelair.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Vougeraie,,vougeraie@domainedelavougeraie.com,,"Contacté, sans réponse",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine de la Romanée-Conti,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Emmanuel Rouget,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Georges Noëllat,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Sylvain Cathiard,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine Michel Gros,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine François Lamarche,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
Domaine A.F. Gros,,contact@af-gros.com,,"Contacté, refus",,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Domaine Robert Arnoux,,,,Non contacté,,,Démarchage en nature,,,,,,,,,,,,,
